Family	Genus	species	Genus_species	species_lsid	author	year	parentheses	distribution_WSC	Notes	Citation_WSC	Measured	Ecological_classification	Guild	Cave_deep	Cave_entr	SSH	External	Alien	Verticality	Pigment	Eyeless	Eyes_regression	Leg_elongation	Body_length_min_f	Body_length_max_f	Body_length_min_m	Body_length_max_m	Body_length_avg_f	Body_length_avg_m	Sexual_Size_Dimorphism	Body_length_avg	Prosoma_length_f	Prosoma_length_m	Prosoma_length_avg	Prosoma_width_f	Prosoma_width_m	Prosoma_width_avg	Prosoma_shape	Prosoma_height_f	Prosoma_height_m	Prosoma_height_avg	Profile_flattening	Femur_I_length_f	Femur_I_length_m	Femur_I_length_avg	Femur_elongation	Tibia_I_length_f	Tibia_I_length_m	Tibia_I_length_avg	Tibia_elongation 	Fang_length_f	Fang_length_m	Fang_length_avg	Clypeus_height_f	Clypeus_height_m	Clypeus_height_avg	AME	AME_type	ALE	PME	PLE	Eye_reduction_ratio	AME-ALE	PME-PLE	Capture_web	Sensing_web	No_web	Tube_web	Sheet_web	Space_web	Orb_web	Ambush_hunter	Active_hunter	Food_specialist	Dispersal
Linyphiidae	Troglohyphantes	microcymbium	Troglohyphantes microcymbium	urn:lsid:nmbe.ch:spidersp:038574	Pesarini	2001	0	Italy	-	Pesarini_2001b	yes	Troglobiont	Sheet	1	0	0	0	0	Soil + Wall	Depigmented	0	1	0	NA	2,79	NA	2,9	2,79	2,9	1,039	2,845	1,09	1,2	1,145	0,997	0,9	0,949	1,207	0,401	NA	NA	NA	1,64	1,9	1,77	0,622	1,69	2	1,845	0,649	NA	NA	NA	0,274	NA	0,274	0,003	Present	0,017	0,03	0,017	0,061	0,09	0,07	1	0	0	0	1	1	0	0	0	0	0
Linyphiidae	Troglohyphantes	pedemontanus	Troglohyphantes pedemontanus	urn:lsid:nmbe.ch:spidersp:013090	Gozo	1908	1	Italy	-	Gozo_1908/Brignoli_1719d/Isaia_et_al_2011	no	Troglobiont	Sheet	1	0	0	0	0	Soil + Wall	Depigmented	0	1	0	NA	2,95	NA	2,85	2,95	2,85	0,966	2,9	1,15	1,25	1,2	0,9	1	0,95	1,263	0,468	0,51	0,489	0,408	2,4	2,4	2,4	0,828	2,65	2,65	2,65	0,914	NA	NA	NA	0,201	0,294	0,248	0,01	Present	0,017	0,018	0,017	0,063	0,15	0,13	1	0	0	0	1	1	0	0	0	0	0
Linyphiidae	Troglohyphantes	ruffoi	Troglohyphantes ruffoi	urn:lsid:nmbe.ch:spidersp:013104	Caporiacco	1936	0	Italy	unspecified if Deep or Entrance, howewer in caves	Caporiacco_1936d/Thaler_1967/Brignoli_1971d/Thaler_1987a	yes	Troglophile	Sheet	1	1	0	1	0	Soil + Wall	Fully	0	0	0	2,5	3,6	2,3	3,2	3,05	2,75	0,902	2,9	1	1,17	1,085	0,9	0,99	0,945	1,148	0,305	0,48	0,393	0,362	1,95	1,9	1,925	0,664	1,9	2,25	2,075	0,716	NA	NA	NA	1,82	0,245	1,033	0,049	Present	0,059	0,081	0,083	0,066	0,049	0,049	1	0	0	0	1	1	0	0	0	0	1
Linyphiidae	Troglohyphantes	giachinoi	Troglohyphantes giachinoi	urn:lsid:nmbe.ch:spidersp:050596	Isaia & Mammola	2018	0	Italy	-	Isaia & Mammola_in_Mammola_et_al_2018	yes	Troglophile	Sheet	0	0	1	1	0	Soil	Partly	0	0	0	NA	NA	NA	2,72	NA	2,72	NA	2,72	0,87	1,34	1,105	0,67	0,93	0,8	1,381	0,381	0,475	0,428	0,387	1,31	1,88	1,595	0,586	1,53	1,94	1,735	0,638	NA	NA	NA	0,18	0,34	0,26	0,01	Present	0,02	0,02	0,03	0,077	0,03	0,02	1	0	0	0	1	1	0	0	0	0	1
Linyphiidae	Troglohyphantes	konradi	Troglohyphantes konradi	urn:lsid:nmbe.ch:spidersp:013067	Brignoli	1975	0	Italy	-	Brignoli_1975c	yes	Troglobiont	Sheet	1	0	0	0	0	Soil + Wall	Depigmented	0	1	0	NA	3,7	NA	3,25	3,7	3,25	0,878	3,475	1,75	1,55	1,65	1,37	1,3	1,335	1,236	0,483	0,498	0,491	0,297	2,87	2,95	2,91	0,837	3	3,15	3,075	0,885	NA	NA	NA	0,31	0,307	0,309	0,005	Present	0,009	0,09	0,018	0,099	0,149	0,141	1	0	0	0	1	1	0	0	0	0	0
Linyphiidae	Troglohyphantes	cyrnaeus	Troglohyphantes cyrnaeus	NA	Isaia	2022	0	Francia, Corsica	-	Marco Isaia Collection	yes	Troglobiont	Sheet	1	0	0	0	0	Soil + Wall	Depigmented	0	1	0	3,25	3,25	2,54	2,54	3,25	2,54	0,78	2,89	1,35	1,13	1,24	1,01	0,65	0,83	1,49	0,52	0,3	0,41	0,433	2,98	2,95	2,965	1,05	3,23	3,2	3,215	1,11	NA	NA	NA	0,206	0,257	0,232	0,02	Present	0,04	0,01	0,03	0,116	0,127	0,117	1	0	0	0	1	1	0	0	0	0	0
Linyphiidae	Troglohyphantes	delphinicus	Troglohyphantes delphinicus	NA	Isaia & Mammola	2022	0	Italy	-	Marco Isaia Collection	yes	Troglophile	Sheet	1	1	0	1	0	Soil + Wall	Depigmented	0	1	0	NA	2,93	NA	3,09	2,93	3,09	1,055	3,01	1,23	1,44	1,335	1,15	1,21	1,18	1,131	0,52	0,54	0,53	0,397	2,41	2,26	2,335	0,776	2,5	2,47	2,485	0,826	NA	NA	NA	0,22	0,4	0,31	0,02	Present	0,05	0,04	0,05	0,129	0,14	0,1	1	0	0	0	1	1	0	0	0	0	0
Linyphiidae	Troglohyphantes	orpheus	Troglohyphantes orpheus	urn:lsid:nmbe.ch:spidersp:013088	Simon	1884	1	France	unspecified if Deep or Entrance, howewer in caves	Simon_1884a/Fage_1919	no	Troglobiont	Sheet	1	1	0	0	0	Soil + Wall	Depigmented	0	1	0	3,33	4	NA	3,07	3,665	3,07	0,838	3,368	1,7	1,49	1,595	1,33	1,29	1,31	1,218	0,42	0,56	0,49	0,307	2,34	2,2	2,27	0,674	2,36	2,37	2,365	0,702	NA	NA	NA	0,358	0,381	0,37	0,041	Present	0,043	0,06	0,057	0,136	0,079	0,064	1	0	0	0	1	1	0	0	0	0	0
Linyphiidae	Troglohyphantes	lucifer	Troglohyphantes lucifer	urn:lsid:nmbe.ch:spidersp:049228	Isaia, Mammola & Pantini	2017	0	Italy	-	Isaia_Mammola&Pantini_in_Isaia_et_al_2017	yes	Troglophile	Sheet	0	1	1	1	0	Soil + Wall	Fully	0	0	0	3,48	3,7	NA	3,41	3,59	3,41	0,95	3,5	1,23	1,25	1,24	1	1,12	1,06	1,17	0,559	0,583	0,571	0,46	2,5	3,19	2,845	0,813	3,22	3,28	3,25	0,929	NA	NA	NA	0,236	0,59	0,413	0,04	Present	0,07	0,07	0,07	0,151	0,04	0,06	1	0	0	0	1	1	0	0	0	0	1
Linyphiidae	Troglohyphantes	bolognai	Troglohyphantes bolognai	urn:lsid:nmbe.ch:spidersp:013014	Brignoli	1975	0	Italy	-	Brignoli_1975c/Brignoli_1975o/Isaia&Pantini_2010	yes	Troglobiont	Sheet	1	1	0	0	0	Soil + Wall	Depigmented	0	1	0	2,87	2,87	2,73	2,73	2,87	2,73	0,951	2,8	1	1,35	1,175	0,95	1,2	1,075	1,093	0,394	0,567	0,481	0,409	2,07	2,15	2,11	0,754	2,07	2,19	2,13	0,761	NA	NA	NA	0,159	0,235	0,197	0,02	Present	0,038	0,03	0,046	0,17	0,092	0,092	1	0	0	0	1	1	0	0	0	0	0
Linyphiidae	Troglohyphantes	sordellii	Troglohyphantes sordellii	urn:lsid:nmbe.ch:spidersp:013115	Pavesi	1875	1	Italy, Switzerland	-	Pavesi_1875/Simon_1884a/Lessert_1906/Fage_1919/Brignoli_1971d/Pesarini_2001b	no	Troglophile	Sheet	1	1	0	1	0	Soil + Wall	Fully	0	1	0	3,2	4	NA	3	3,6	3	0,833	3,3	1,43	1,5	1,465	1,02	1,25	1,135	1,291	0,449	0,546	0,498	0,34	2,1	2,88	2,49	0,755	2,3	3,15	2,725	0,826	NA	NA	NA	0,3	0,319	0,31	0,044	Present	0,06	0,058	0,069	0,187	0,067	0,068	1	0	0	0	1	1	0	0	0	0	1
Linyphiidae	Troglohyphantes	thaleri	Troglohyphantes thaleri	urn:lsid:nmbe.ch:spidersp:013123	Miller & Polenec	1975	0	Austria, Slovenia	-	Miller & Polenec_1975b/Deeleman-Reinhold_1978b	no	Troglophile	Sheet	0	0	0	1	0	Soil + Wall	Depigmented	0	0	0	NA	2,9	NA	2,87	2,9	2,87	0,99	2,885	1,3	1,39	1,345	0,96	1,15	1,055	1,275	NA	NA	NA	NA	1,77	1,97	1,87	0,648	1,87	2,25	2,06	0,714	NA	NA	NA	0,23	0,32	0,275	0,04	Present	NA	0,058	0,058	0,188	NA	0,07	1	0	0	0	1	1	0	0	0	0	0
Linyphiidae	Troglohyphantes	vignai	Troglohyphantes vignai	urn:lsid:nmbe.ch:spidersp:013129	Brignoli	1971	0	Italy	-	Brignoli_1971d	yes	Troglophile	Sheet	1	1	0	0	0	Soil + Wall	Depigmented	0	1	0	NA	3,35	NA	3,05	3,35	3,05	0,91	3,2	1,45	1,35	1,4	1,2	1,1	1,15	1,217	0,51	0,57	0,54	0,386	2,5	2,3	2,4	0,75	2,5	2,35	2,425	0,758	NA	NA	NA	0,304	0,331	0,318	0,05	Present	0,06	0,07	0,07	0,197	0,099	0,101	1	0	0	0	1	1	0	0	0	0	0
Linyphiidae	Troglohyphantes	lanai	Troglohyphantes lanai	urn:lsid:nmbe.ch:spidersp:043629	Isaia & Pantini	2010	0	Italy	-	Isaia&Pantini_2010	no	Troglobiont	Sheet	1	0	0	0	0	Soil + Wall	Depigmented	0	1	1	NA	3,19	NA	2,93	3,19	2,93	0,918	3,06	1,53	1,38	1,455	1,33	1,23	1,28	1,137	0,521	0,533	0,527	0,362	2,9	2,87	2,885	0,943	3,13	3,13	3,13	1,023	NA	NA	NA	0,228	0,23	0,229	0,03	Present	0,061	0,046	0,046	0,2	0,11	1,1	1	0	0	0	1	1	0	0	0	0	0
Linyphiidae	Troglohyphantes	lucifuga	Troglohyphantes lucifuga	urn:lsid:nmbe.ch:spidersp:013075	Simon	1884	1	Italy, France, Switzerland	-	Fage_1919/Dresco_1959c/Pesarini_2011/Isaia_et_al_2017	no	Troglophile	Sheet	0	1	0	1	0	Soil + Wall	Fully	0	0	1	NA	4,5	3,49	3,8	4,5	3,645	0,81	4,073	1,77	1,58	1,675	1,38	1,22	1,3	1,288	0,635	0,718	0,677	0,404	3,3	3,27	3,285	0,807	3,36	3,33	3,345	0,821	NA	NA	NA	0,32	0,494	0,407	0,036	Present	0,104	0,096	0,089	0,2	0,057	0,064	1	0	0	0	1	1	0	0	0	0	1
Linyphiidae	Troglohyphantes	wiebesi	Troglohyphantes wiebesi	urn:lsid:nmbe.ch:spidersp:013130	Deeleman-Reinhold	1978	0	Croatia, Bosnia and Herzegovina	unspecified if Deep or Entrance, howewer in caves; Croatian Biospeleological Society collection: measured samples CBSSAR 390 male	Deeleman-Reinhold_1978b	yes	Troglobiont	Sheet	1	1	0	0	0	Soil + Wall	Partly	0	0	1	NA	2,41	2,3	2,789	2,41	2,3	0,954	2,355	1,34	1,3	1,32	1,06	1,2	1,13	1,168	NA	0,417	NA	NA	2,68	2,54	2,61	1,108	2,69	2,54	2,615	1,11	NA	0,361	NA	NA	0,326	0,326	0,057	Present	0,078	0,066	0,07	0,208	0,068	0,055	1	0	0	0	1	1	0	0	0	0	0
Linyphiidae	Troglohyphantes	brevipes	Troglohyphantes brevipes	urn:lsid:nmbe.ch:spidersp:013017	Deeleman-Reinhold	1978	0	Bosnia and Herzegovina	Croatian Biospeleological Society collection: mesured samples CBSSAR 5230 female	Deeleman-Reinhold_1978b	yes	Troglobiont	Sheet	1	0	0	0	0	Soil + Wall	Depigmented	0	1	0	2,98	3,02	NA	2,68	3	2,68	0,893	2,84	1,39	1,2	1,295	1,15	1,01	1,08	1,199	0,469	NA	NA	NA	1,92	1,58	1,75	0,616	1,92	1,68	1,8	0,634	0,334	NA	NA	0,227	NA	0,227	0,04	Present	NA	0,05	0,055	0,213	NA	0,05	1	0	0	0	1	1	0	0	0	0	0
Linyphiidae	Troglohyphantes	achillis	Troglohyphantes achillis	NA	Isaia & Mammola	2022	0	Italy	-	Marco Isaia Collection	yes	Troglophile	Sheet	1	1	0	0	0	Soil + Wall	Depigmented	0	0	0	NA	3,65	NA	3,08	3,65	3,08	0,844	3,365	1,38	1,07	1,225	1,05	0,96	1,005	1,219	0,53	0,62	0,575	0,469	2,46	2,63	2,545	0,756	2,52	2,81	2,665	0,792	NA	NA	NA	0,24	0,34	0,29	0,04	Present	0,06	0,07	0,08	0,216	0,04	0,07	1	0	0	0	1	1	0	0	0	0	0
Linyphiidae	Troglohyphantes	bornensis	Troglohyphantes bornensis	urn:lsid:nmbe.ch:spidersp:041394	Isaia & Pantini	2008	0	Italy	-	Isaia&Pantini_2008	yes	Troglobiont	Sheet	1	1	0	0	0	Soil + Wall	Depigmented	0	1	0	NA	3,33	NA	2,6	3,33	2,6	0,781	2,965	1,2	1,19	1,195	1,06	1,06	1,06	1,127	0,462	0,431	0,447	0,374	2,23	2,32	2,275	0,767	2,38	2,68	2,53	0,853	NA	NA	NA	0,178	0,179	0,179	0,022	Present	0,048	0,037	0,05	0,22	0,083	0,08	1	0	0	0	1	1	0	0	0	0	0
Linyphiidae	Troglohyphantes	brignolii	Troglohyphantes brignolii	urn:lsid:nmbe.ch:spidersp:013018	Deeleman-Reinhold	1978	0	Slovenia, Croatia	Croatian Biospeleological Society collection: measured samples CBSSAR 1318 female & 616 male	Deeleman-Reinhold_1978b	no	Troglobiont	Sheet	1	1	1	0	0	Soil + Wall	Partly	0	0	0	2,792	3,12	3,16	3,22	3,12	3,22	1,032	3,17	1,25	1,285	1,267	0,97	1,1	1,035	1,224	0,395	0,55	NA	NA	2,64	3,12	2,88	0,909	2,93	3,4	3,165	0,998	0,279	0,296	NA	0,22	0,319	0,27	0,045	Present	NA	0,073	0,07	0,232	NA	0,07	1	0	0	0	1	1	0	0	0	0	0
Linyphiidae	Troglohyphantes	nigraerosae	Troglohyphantes nigraerosae	urn:lsid:nmbe.ch:spidersp:013081	Brignoli	1971	0	Italy	-	Brignoli_1971f/Pesarini_1988c/Isaia_et_al_2011	no	Troglophile	Sheet	1	1	0	1	0	Soil + Wall	Depigmented	0	1	0	NA	3,62	NA	3	3,62	3	0,829	3,31	1,3	1,5	1,4	0,94	1,15	1,045	1,34	0,446	0,51	0,478	0,341	2,58	2,4	2,49	0,752	2,82	2,4	2,61	0,789	NA	NA	NA	0,144	0,214	0,179	0,023	Present	0,036	0,055	0,057	0,239	0,123	0,114	1	0	0	0	1	1	0	0	0	0	1
Linyphiidae	Troglohyphantes	wiehlei	Troglohyphantes wiehlei	urn:lsid:nmbe.ch:spidersp:013131	Miller & Polenec	1975	0	Austria, Slovenia, Croatia	small mammals burrows: MSS. unspecified if Deep or Entrance, howewer in caves ; Croatian Biospeleological Society collection: measured samples CBSSAR 780 male	Miller&Polenec_1975b/Deeleman-Reinhold_1978b/Thaler_1986b	no	Troglophile	Sheet	1	1	1	0	0	Soil + Wall	Depigmented	0	0	0	2	2,83	2,3	2,6	2,415	2,45	1,014	2,433	1,12	1,15	1,135	0,86	1,06	0,96	1,182	0,38	0,404	0,392	0,345	1,66	1,78	1,72	0,707	1,755	1,92	1,838	0,755	NA	0,266	NA	0,2	0,238	0,219	0,035	Present	NA	0,063	0,06	0,24	NA	0,035	1	0	0	0	1	1	0	0	0	0	0
Linyphiidae	Troglohyphantes	dominici	Troglohyphantes dominici	urn:lsid:nmbe.ch:spidersp:013041	Pesarini	1988	0	Italy	unspecified if Deep or Entrance, howewer in caves.	Pesarini_1988a	no	Troglophile	Sheet	1	1	0	0	0	Soil + Wall	Partly	0	0	0	NA	2,26	NA	2,25	2,26	2,25	0,996	2,255	1,16	1,18	1,17	0,87	0,96	0,915	1,279	0,367	0,393	0,38	0,325	1,6	1,62	1,61	0,714	1,62	1,74	1,68	0,745	NA	NA	NA	0,197	0,234	0,216	0,031	Present	0,06	0,057	0,073	0,256	0,049	0,053	1	0	0	0	1	1	0	0	0	0	0
Linyphiidae	Troglohyphantes	fagei	Troglohyphantes fagei	urn:lsid:nmbe.ch:spidersp:013046	Roewer	1931	0	Italy, Germany, Austria	-	Roewer_1931/Brignoli_1971d/Schenkel_1950a	yes	Troglophile	Sheet	1	1	0	1	0	Soil + Wall	Fully	0	0	0	2,6	3,24	2,45	2,8	2,92	2,625	0,899	2,773	1,1	1,15	1,125	0,9	1,05	0,975	1,154	NA	NA	NA	NA	2,25	2,45	2,35	0,848	2,5	2,8	2,65	0,956	NA	NA	NA	0,16	0,25	0,205	0,05	Present	0,07	0,05	0,04	0,256	NA	NA	1	0	0	0	1	1	0	0	0	0	1
Linyphiidae	Troglohyphantes	iulianae	Troglohyphantes iulianae	urn:lsid:nmbe.ch:spidersp:013062	Brignoli	1971	0	Italy	-	Brignoli_1971d/Gasparo_2001/Pesarini_2001b/Isaia&Pantini_2010	no	Troglophile	Sheet	1	1	1	1	0	Soil + Wall	Depigmented	0	0	0	NA	2,35	2,4	2,6	2,35	2,5	1,064	2,425	1,05	1,08	1,065	0,8	0,89	0,845	1,26	0,404	0,363	0,384	0,36	1,55	1,59	1,57	0,647	1,65	1,63	1,64	0,676	NA	NA	NA	0,186	0,18	0,183	0,03	Present	0,048	0,06	0,05	0,257	0,05	0,059	1	0	0	0	1	1	0	0	0	0	1
Linyphiidae	Troglohyphantes	apenninicus	Troglohyphantes apenninicus	urn:lsid:nmbe.ch:spidersp:049227	Isaia, Mammola & Pantini	2017	0	Italy	-	Isaia_et_al_2017	no	Troglophile	Sheet	0	0	1	1	0	Soil + Wall	Fully	0	0	0	NA	2,84	NA	3,27	2,84	3,27	1,151	3,055	1,31	1,37	1,34	1,06	1,1	1,08	1,241	NA	NA	NA	NA	2,69	2,88	2,785	0,912	2,97	3,13	3,05	0,998	NA	NA	NA	0,25	0,31	0,28	0,06	Present	0,1	0,07	0,07	0,268	0,04	0,06	1	0	0	0	1	1	0	0	0	0	1
Linyphiidae	Troglohyphantes	caligatus	Troglohyphantes caligatus	urn:lsid:nmbe.ch:spidersp:013021	Pesarini	1989	0	Italy, Switzerland	-	Pesarini_1989	no	Troglophile	Sheet	0	0	0	1	0	Soil + Wall	Fully	0	0	0	NA	2,38	NA	2,01	2,38	2,01	0,845	2,195	0,873	0,97	0,922	0,863	0,9	0,882	1,045	0,303	0,369	0,336	0,365	1,44	1,38	1,41	0,642	1,44	1,36	1,4	0,638	NA	NA	NA	0,213	0,201	0,207	0,033	Present	0,065	0,06	0,065	0,269	0,049	0,068	1	0	0	0	1	1	0	0	0	0	1
Linyphiidae	Troglohyphantes	croaticus	Troglohyphantes croaticus	urn:lsid:nmbe.ch:spidersp:013032	Chyzer	1894	1	Croatia	Croatian Biospeleological Society collection: mesured samples CBSSAR 2269 male & 2269 & 6678 females	Chyzer&Kulczyński_1894/Fage_1919/Deeleman-Reinhold, C. L. (1978b). Revision of the cave-dwelling and related spiders of the genus Troglohyphantes Joseph (Linyphiidae), with special reference to the Yugoslav species. Slovenska Akademija Znanosti in Umetnosti, Razred za Prirodoslovne Vede, Classis IV, Historia Naturalis (Prirod. Vede) 23: 1-220	no	Troglobiont	Sheet	1	1	0	0	0	Soil + Wall	Depigmented	0	1	0	2,5	2,878	2,342	2,88	2,7	2,88	1,067	2,79	0,993	1,221	1,107	0,828	1,1	0,964	1,148	0,348	0,419	0,384	0,347	2,16	2,74	2,45	0,878	2,4	3,1	2,75	0,986	0,243	0,244	NA	0,169	0,211	0,19	0,035	Present	0,058	0,058	0,058	0,274	0,06	0,048	1	0	0	0	1	1	0	0	0	0	0
Linyphiidae	Troglohyphantes	zanoni	Troglohyphantes zanoni	urn:lsid:nmbe.ch:spidersp:013132	Pesarini	1988	0	Italy	unspecified if Deep or Entrance, howewer in caves	Pesarini_1988a	yes	Troglophile	Sheet	1	1	0	1	0	Soil + Wall	Fully	0	1	0	NA	2,41	NA	2,5	2,41	2,5	1,037	2,455	1,08	1,19	1,135	0,83	0,93	0,88	1,29	0,323	0,455	0,389	0,343	1,48	1,6	1,54	0,627	1,56	1,74	1,65	0,672	NA	NA	NA	0,171	0,208	0,19	0,037	Present	0,053	0,055	0,067	0,279	0,056	0,051	1	0	0	0	1	1	0	0	0	0	0
Linyphiidae	Troglohyphantes	svilajensis	Troglohyphantes svilajensis	urn:lsid:nmbe.ch:spidersp:013119	Kratochvi­l	1948	1	Croatia, Bosnia and Herzegovina	Croatian Biospeleological Society collection: measured samples CBSSAR 2407 female & 2408 male	Kratochvíl_1948/Deeleman-Reinhold_1978b	no	Troglobiont	Sheet	1	0	0	0	0	Soil + Wall	Depigmented	0	0	0	2,9	4,2	2,95	3,36	3,15	3,03	0,962	3,09	1,42	1,515	1,468	1,155	1,25	1,203	1,22	0,526	0,448	NA	NA	2,865	2,805	2,835	0,917	3,005	3,01	3,008	0,973	0,333	0,322	NA	0,192	0,244	0,218	0,053	Present	NA	0,075	0,06	0,287	NA	0,06	1	0	0	0	1	1	0	0	0	0	0
