code	species	pigment	Fe_I	Tb_I	Mt_I	Ta_I	Fe_II	Tb_II	Mt_II	Ta_II	Fe_III	Tb_III	Mt_III	Ta_III	Fe_IV	Tb_IV	Mt_IV	Ta_IV	Post_LINE	Ant_LINE	AME	ALE	PME	PLE	WIDTH	HEIGHT	CLIPEO	CEPH_REG	Sterno_L	Sterno_W	PATURON	TOOTH	FANG
63	lanai	0	2,47	2,78	2,42	1,27	2,38	2,55	2,19	1,34	2	1,97	1,82	1,05	2,51	2,65	2,31	1,23	0,45	0,42	0,03	0,06	0,04	0,06	1,14	0,38	0,23	0,78	0,82	0,74	0,53	0,08	0,38
64	lanai	0	2,30	2,78	2,30	1,44	2,23	2,52	2,21	1,31	1,96	1,97	1,76	1	2,44	2,51	2,20	1,18	0,46	0,41	0,03	0,06	0,04	0,05	1,17	0,38	0,21	0,80	0,71	0,83	0,57	0,09	0,44
65	lanai	0	2,15	2,54	2,19	1,40	2,03	2,40	2,03	1,35	1,74	1,80	1,55	0,92	2,16	2,39	2,03	1,21	0,40	0,37	0,04	0,05	0,04	0,04	1,07	0,38	0,20	0,69	0,71	0,79	0,58	0,07	0,38
66	lanai	0	2,62	3	2,71	1,52	2,51	2,82	2,52	1,41	2,29	2,22	2,04	1,08	2,83	2,89	2,50	1,24	0,50	0,45	0,05	0,06	0,04	0,04	1,30	0,41	0,27	0,88	0,80	0,86	0,62	0,09	0,46
67	lanai	0	2,69	3,07	2,76	1,55	2,60	3,03	2,65	1,48	2,31	2,29	2,11	1,08	2,85	3,03	2,64	1,30	0,53	0,48	0,04	0,06	0,04	0,06	1,33	0,44	0,24	0,90	0,98	0,89	0,63	0,09	0,46
68	lanai	0	2,49	2,90	2,44	1,47	2,32	2,66	2,28	1,36	2,02	1,86	1,88	1,05	2,52	2,82	2,26	1,28	0,45	0,39	0,04	0,05	0,04	0,04	1,17	0,42	0,25	0,74	0,95	0,84	0,59	0,07	0,40
69	lucifer	1	2,72	2,47	2,34	1,24	2,57	2,01	2,39	1,30	2,02	1,45	1,97	0,96	2,43	2,40	2,30	1,24	0,45	0,43	0,05	0,08	0,09	0,10	1,13	0,49	0,26	0,73	0,72	0,82	0,47	0,09	0,34
70	lucifer	1	2,65	3,20	2,87	1,52	2,71	2,87	2,59	1,51	2,21	2,19	2	1,05	2,68	2,49	2,35	1,35	0,47	0,40	0,07	0,10	0,08	0,09	1,20	0,51	0,28	0,86	0,69	0,88	0,52	0,10	0,41
71	lucifer	1	2,62	3	2,51	1,50	2,54	2,57	2,32	1,51	2,09	1,97	1,88	1,06	2,63	2,62	2,21	1,33	0,45	0,40	0,08	0,11	0,09	0,11	1,18	0,50	0,28	0,75	0,73	0,85	0,64	0,08	0,35
72	lucifer	1	2,71	3,08	2,60	1,51	2,64	2,79	2,39	1,45	1,92	1,92	1,73	0,98	2,49	2,55	2,22	1,20	0,47	0,44	0,06	0,11	0,10	0,10	1,12	0,52	0,29	0,73	0,68	0,83	0,70	0,08	0,37
73	lucifer	1	2,54	2,95	2,84	1,47	2,45	2,76	2,32	1,45	1,95	2,09	1,99	1,01	2,50	2,56	2,26	1,28	0,43	0,42	0,05	0,10	0,08	0,08	1,13	0,45	0,25	0,83	0,73	0,80	0,59	0,09	0,31
74	lucifer	1	2,69	2,92	2,51	1,50	2,60	2,72	2,41	1,42	2,03	1,86	1,21	0,65	2,79	2,50	1,91	1,28	0,45	0,43	0,07	0,12	0,10	0,11	1,22	0,47	0,27	0,91	0,82	0,88	0,64	0,09	0,39
75	lucifer	1	2,93	3,16	2,54	1,42	2,78	2,92	2,32	1,43	2,25	2,20	2,07	1,10	2,78	2,49	2,41	1,38	0,46	0,42	0,05	0,10	0,09	0,10	1,22	0,54	0,30	0,81	0,87	0,84	0,67	0,07	0,43
76	lucifer	1	2,78	3,09	2,70	1,61	2,63	2,76	2,56	1,51	2,16	2,02	1,89	1,05	2,67	2,63	2,42	1,31	0,48	0,45	0,06	0,11	0,10	0,10	1,18	0,53	0,30	0,83	0,87	0,83	0,67	0,08	0,43
77	lucifer	1	2,36	2,91	2,42	1,37	2,15	2,69	2,33	1,38	2,08	1,86	1,72	0,97	2,58	2,62	2,12	1,32	0,44	0,40	0,06	0,10	0,08	0,10	1,16	0,43	0,25	0,70	0,74	0,79	0,60	0,07	0,39
78	lucifer	1	2,71	3,14	2,71	1,61	2,33	2,61	2,46	1,49	2,22	2,14	2	1,11	2,76	2,71	2,45	1,31	0,50	0,45	0,06	0,11	0,10	0,10	1,26	0,53	0,33	0,79	0,89	0,88	0,66	0,09	0,46
79	lucifer	1	2,86	3,24	2,82	1,57	2,80	3,04	2,67	1,53	2,31	2,14	1,97	1,12	2,71	2,62	2,42	1,41	0,46	0,42	0,06	0,10	0,10	0,09	1,24	0,55	0,32	0,83	0,88	0,86	0,66	0,08	0,43
80	lucifuga	1	2,75	3,01	2,77	1,74	2,64	2,78	2,59	1,65	2,34	2,02	2,11	1,15	2,70	2,60	2,48	1,48	0,50	0,48	0,07	0,13	0,11	0,10	1,30	0,57	0,34	0,85	0,85	0,90	0,74	0,10	0,45
81	lucifuga	1	2,64	2,98	2,66	1,65	2,23	2,74	2,49	1,52	2,10	1,84	1,95	1,10	2,60	2,54	2,40	1,33	0,46	0,45	0,07	0,11	0,10	0,11	1,22	0,53	0,34	0,83	0,86	0,87	0,67	0,08	0,49
82	lucifuga	1	2,62	2,95	2,66	1,70	2,62	2,82	2,49	1,56	2,20	1,97	1,96	1,16	2,57	2,50	2,41	1,36	0,47	0,46	0,06	0,11	0,09	0,11	1,22	0,50	0,29	0,83	0,85	0,94	0,63	0,07	0,46
83	lucifuga	1	2,74	2,85	2,62	1,78	2,55	2,73	2,48	1,53	2,07	1,91	1,92	1,18	2,65	2,49	2,37	1,43	0,46	0,42	0,07	0,11	0,09	0,11	1,22	0,52	0,32	0,82	0,84	0,88	0,64	0,09	0,43
84	lucifuga	1	2,55	2,91	2,60	1,62	2,47	2,71	2,45	1,47	2,10	1,91	1,82	1,10	2,49	2,63	2,34	1,36	0,50	0,49	0,07	0,11	0,10	0,10	1,34	0,55	0,34	0,85	0,87	0,92	0,67	0,08	0,44
85	lucifuga	1	2,72	3,03	2,68	1,66	2,50	2,81	2,52	1,52	2,18	2,07	1,99	1,10	2,76	2,65	2,49	1,35	0,52	0,47	0,11	0,14	0,11	0,12	1,43	0,60	0,34	0,93	0,98	0,92	0,82	0,07	0,49
86	lucifuga	1	2,79	3,21	2,91	1,73	2,75	3	2,68	1,63	2,22	2,20	2,11	1,18	2,85	2,81	2,57	1,46	0,47	0,47	0,09	0,13	0,10	0,12	1,33	0,60	0,37	0,89	0,90	0,96	0,71	0,09	0,45
87	lucifuga	1	3,40	3,65	3,34	1,99	3,22	3,39	3,13	1,80	2,75	2,49	2,46	1,31	3,23	3,29	3,04	1,58	0,49	0,46	0,09	0,12	0,10	0,12	1,45	0,57	0,38	0,90	0,93	0,98	0,78	0,09	0,50
88	lucifuga	1	3,34	3,60	3,25	1,90	3,15	3,58	3,25	1,99	2,57	2,41	2,36	1,32	3,10	3,05	2,90	1,61	0,50	0,49	0,10	0,12	0,12	0,11	1,39	0,51	0,35	0,89	0,94	0,91	0,77	0,08	0,49
89	lucifuga	1	2,83	3,12	2,85	1,80	2,74	2,92	2,72	1,65	2,32	2,12	2,01	1,15	2,85	2,67	2,51	1,44	0,46	0,44	0,08	0,11	0,10	0,12	1,30	0,62	0,39	0,84	0,90	0,90	0,71	0,09	0,45
90	lucifuga	1	3,08	3,21	2,93	1,76	2,90	3,02	2,77	1,59	2,29	2,26	2,11	1,18	2,95	2,85	2,67	1,46	0,45	0,44	0,08	0,11	0,10	0,10	1,39	0,46	0,32	0,92	0,82	0,98	0,70	0,08	0,45
91	nigraerosae	0	2,12	2,41	2,14	1,36	2,01	2,26	2,10	1,24	1,86	1,95	1,69	0,94	2,41	2,43	2,20	1,25	0,52	0,50	0,03	0,09	0,09	0,08	1,21	0,43	0,21	0,87	0,88	0,81	0,62	0,07	0,46
92	nigraerosae	0	2,12	2,40	2,06	1,43	1,96	2,16	1,87	1,07	1,78	1,80	1,61	1,03	2,10	2,38	1,99	1,30	0,49	0,43	0,04	0,07	0,07	0,08	1,12	0,42	0,22	0,82	0,76	0,79	0,60	0,08	0,41
93	nigraerosae	0	2,25	2,41	2,21	1,46	2,16	2,17	2,18	1,33	2	2,01	1,84	1,04	2,49	2,59	2,26	1,37	0,50	0,46	0,06	0,09	0,08	0,08	1,28	0,45	0,23	0,92	0,91	0,90	0,66	0,09	0,43
94	nigraerosae	0	2,02	2,24	2,01	1,42	1,80	2,12	1,96	1,33	1,63	1,85	1,54	0,99	2,23	2,35	2,04	1,22	0,50	0,48	0,05	0,08	0,07	0,08	1,22	0,47	0,22	0,91	0,91	0,84	0,60	0,08	0,46
95	nigraerosae	0	2,36	2,65	2,31	1,50	2,22	2,52	2,21	1,31	2,12	2,03	1,90	1,10	2,40	2,69	2,37	1,33	0,52	0,48	0,06	0,08	0,07	0,08	1,43	0,47	0,26	0,93	0,96	0,91	0,65	0,08	0,47
96	nigraerosae	0	2,15	2,45	2,12	1,48	2,14	2,43	2,10	1,37	1,92	1,84	1,72	1,10	2,45	2,56	2,23	1,32	0,52	0,47	0,05	0,08	0,08	0,10	1,23	0,45	0,22	0,83	0,88	0,87	0,62	0,09	0,45
97	nigraerosae	0	2,02	2,24	2,21	1,43	1,99	2,16	2,07	1,36	1,72	1,90	1,79	1,07	2,26	2,36	2,20	1,34	0,49	0,48	0,06	0,06	0,07	0,07	1,32	0,46	0,22	0,92	0,83	0,81	0,57	0,06	0,46
98	nigraerosae	0	2,37	2,73	2,37	1,50	2,39	2,57	2,24	1,34	2,01	2,15	1,89	1,04	2,52	2,87	2,39	1,46	0,50	0,47	0,05	0,07	0,04	0,07	1,29	0,42	0,25	0,84	0,97	0,89	0,66	0,08	0,46
99	nigraerosae	0	2,34	2,78	2,46	1,51	2,31	2,53	2,30	1,41	2,08	2,10	1,87	1,10	2,70	2,81	2,65	1,29	0,55	0,50	0,05	0,08	0,06	0,08	1,28	0,44	0,23	0,85	1,02	0,92	0,71	0,08	0,44
100	pedemontanus	0	2,27	2,62	2,14	1,35	2,08	2,25	2,01	1,26	1,76	1,73	1,61	0,91	2,29	2,22	1,95	1,26	0,37	0,31	0,02	0,03	0,02	0,05	0,99	0,34	0,17	0,61	0,77	0,67	0,51	0,06	0,34
101	pedemontanus	0	2	2,53	2,19	1,34	2,09	2,50	2,04	1,29	2,16	2,05	2,04	1,16	2,40	2,64	1,97	1,38	0,38	0,32	0,01	0,04	0	0,03	1,07	0,35	0,22	0,69	0,83	0,75	0,52	0,08	0,34
102	pedemontanus	0	2,14	2,61	2,20	1,35	2,05	2,40	2,14	1,24	1,79	1,80	1,62	0,92	2,35	2,28	2,05	1,24	0,39	0,32	0,01	0,04	0	0,03	1,05	0,34	0,20	0,65	0,84	0,74	0,55	0,07	0,36
103	pedemontanus	0	2,40	2,70	2,39	1,39	2,30	2,01	2,13	1,18	1,99	1,94	1,82	0,99	2,54	2,46	2,14	1,26	0,41	0,37	0,02	0,03	0	0,04	1,14	0,37	0,23	0,72	0,83	0,84	0,61	0,06	0,38
104	pedemontanus	0	1,96	1,86	2,39	1,38	2,12	2,36	1,75	1,12	1,83	1,75	1,78	0,94	2,30	2,43	2,15	1,30	0,37	0,32	0,01	0,03	0	0,03	1,03	0,36	0,21	0,72	0,72	0,74	0,54	0,07	0,34
105	pedemontanus	0	2,10	2,40	2,07	1,34	2,22	2,40	2,04	1,19	1,89	1,75	1,29	1,03	2,44	2,39	2,18	1,32	0,35	0,31	0,01	0,03	0	0,03	1	0,34	0,19	0,63	0,71	0,78	0,51	0,07	0,32
106	pedemontanus	0	2,47	2,86	2,63	1,38	2,14	2,66	2,53	1,40	2,24	2,24	1,65	1,05	2,68	2,64	2,46	1,28	0,45	0,40	0,02	0,03	0	0	1,21	0,40	0,21	0,82	0,84	0,85	0,50	0,06	0,41
107	pedemontanus	0	2,51	2,75	2,33	1,24	2,40	2,74	2,34	1,30	2,07	2,06	1,93	0,96	2,50	2,53	2,39	1,21	0,49	0,43	0,02	0,02	0	0	1,18	0,40	0,20	0,80	0,80	0,82	0,65	0,08	0,40
108	pedemontanus	0	2,57	2,83	2,51	1,35	2,31	2,64	2,31	1,16	2,08	1,90	1,82	1,01	2,65	2,64	2,20	1,24	0,49	0,43	0,02	0,01	0	0	1,08	0,44	0,22	0,77	0,81	0,80	0,63	0,08	0,38
109	pedemontanus	0	2,58	3,01	2,70	1,43	2,58	2,81	2,52	1,38	2,17	2	2	1,06	2,84	2,70	2,35	1,24	0,49	0,44	0,02	0,02	0	0	1,23	0,51	0,23	0,83	0,87	0,83	0,60	0,07	0,45
110	pedemontanus	0	2,45	2,98	2,65	1,38	2,51	2,66	2,37	1,22	2,05	2,10	1,92	1,08	2,66	2,71	2,36	1,31	0,44	0,39	0,01	0,04	0	0	1,21	0,50	0,21	0,81	0,86	0,81	0,59	0,08	0,39
111	pedemontanus	0	2,24	2,68	2,36	1,37	2,08	2,51	2,29	1,32	1,89	1,97	1,74	0,97	2,33	2,41	2,17	1,19	0,44	0,38	0,02	0,03	0	0	1,11	0,47	0,19	0,74	0,75	0,77	0,48	0,07	0,46
112	pluto	1	3,11	3,69	3,64	2,13	3,08	3,48	3,31	1,93	2,59	2,56	2,44	1,41	3,13	3,35	2,82	1,67	0,57	0,52	0,07	0,08	0,09	0,09	1,54	0,62	0,37	1,05	1,12	1,07	0,71	0,09	0,51
113	pluto	1	3,30	3,93	3,65	1,99	3,54	3,75	3,32	1,70	2,97	2,67	2,70	1,47	3,75	3,38	3,29	1,78	0,59	0,54	0,03	0,10	0,10	0,10	1,65	0,68	0,41	1,05	1,12	1,02	0,69	0,07	0,53
114	pluto	1	3,12	3,50	2,96	1,81	2,99	3,18	2,92	1,82	2,61	2,53	2,43	1,29	3,16	3,16	2,93	1,64	0,51	0,47	0,05	0,09	0,09	0,09	1,49	0,59	0,37	0,95	0,97	0,96	0,65	0,09	0,50
115	pluto	1	3,43	3,95	3,41	2	3,07	3,68	3,29	1,95	2,82	2,61	2,56	1,40	3,41	3,49	2,90	1,60	0,54	0,49	0,06	0,11	0,10	0,10	1,32	0,56	0,35	0,96	1,01	1,04	0,72	0,09	0,47
116	pluto	1	2,72	2,93	2,83	1,71	2,66	2,94	2,64	1,55	2,12	1,93	1,95	1,21	2,64	2,37	2,33	1,43	0,53	0,48	0,06	0,09	0,07	0,09	1,38	0,54	0,28	0,84	0,91	0,90	0,59	0,07	0,43
117	pluto	1	3,15	3,59	3,24	1,99	3,03	3,30	2,98	1,83	2,65	2,49	2,42	1,39	3,29	2,99	2,92	1,62	0,51	0,44	0,07	0,10	0,07	0,09	1,32	0,48	0,29	0,87	0,91	0,95	0,66	0,08	0,41
118	pluto	1	2,16	2,41	2,09	1,39	2,17	2,32	2,03	1,26	1,82	1,88	1,63	0,99	2,43	2,41	2,14	1,24	0,47	0,45	0,05	0,07	0,05	0,07	1,09	0,46	0,31	0,73	0,78	0,84	0,60	0,07	0,38
119	pluto	1	2,92	3,51	3,24	2,03	2,83	3,35	2,99	1,90	2,43	2,55	2,36	1,37	3,16	3,20	2,92	1,62	0,60	0,53	0,05	0,10	0,10	0,10	1,46	0,66	0,40	0,93	0,90	0,95	0,60	0,08	0,49
120	pluto	1	2,82	3,41	3,15	1,90	2,80	3,15	2,94	1,79	2,56	2,46	2,34	1,33	3,09	3,04	2,90	1,53	0,54	0,49	0,05	0,08	0,11	0,10	1,34	0,56	0,35	0,86	1	0,97	0,68	0,07	0,45
121	pluto	1	3,44	3,77	3,67	2,15	3,43	3,56	3,44	1,95	2,99	2,67	2,72	1,42	3,51	3,39	3,04	1,77	0,58	0,52	0,06	0,09	0,07	0,09	1,53	0,68	0,36	0,97	1,16	1,07	0,70	0,08	0,53
122	pluto	1	3,26	3,79	3,55	2	3,30	3,62	3,44	1,93	2,81	2,43	2,61	1,41	3,35	3,62	3,30	1,73	0,52	0,48	0,05	0,08	0,09	0,10	1,46	0,57	0,31	0,87	1,06	0,98	0,64	0,09	0,44
123	pluto	1	3,07	3,55	3,24	1,71	3	3,27	3,09	1,70	2,57	2,43	2,48	1,32	3,22	3,08	2,93	1,61	0,54	0,47	0,04	0,10	0,07	0,10	1,45	0,57	0,32	0,86	0,95	0,85	0,59	0,09	0,51
124	pluto	1	2,72	3,01	2,90	1,76	2,82	2,98	2,77	1,53	2,27	2,12	2,14	1,17	2,74	2,61	2,55	1,40	0,50	0,46	0,03	0,09	0,09	0,09	1,22	0,49	0,26	0,82	0,95	0,87	0,60	0,08	0,38
125	vignai	1	2,18	2,50	2,18	1,43	2,15	2,48	2,13	1,33	1,88	1,81	1,72	0,99	2,35	2,34	2,12	1,24	0,46	0,42	0,03	0,06	0,07	0,07	1,21	0,45	0,24	0,82	0,85	0,89	0,56	0,08	0,39
126	vignai	1	2,10	2,56	2,05	1,30	2,13	2,34	1,97	1,31	1,82	1,80	1,70	0,89	2,16	2,37	2,05	1,15	0,43	0,39	0,03	0,06	0,06	0,06	1,22	0,45	0,24	0,77	0,81	0,72	0,58	0,08	0,41
127	vignai	1	2,10	2,56	2,05	1,30	2,13	2,34	1,97	1,31	1,82	1,80	1,70	0,89	2,16	2,37	2,05	1,15	0,43	0,39	0,03	0,06	0,06	0,06	1,22	0,45	0,24	0,77	0,81	0,72	0,58	0,08	0,41
128	vignai	1	2,10	2,46	2,14	1,40	2	2,16	2,03	1,35	1,83	1,74	1,66	0,99	2,33	2,38	2,10	1,29	0,42	0,38	0,06	0,05	0,06	0,06	1,17	0,45	0,29	0,79	0,86	0,73	0,57	0,08	0,38
129	vignai	1	2,32	2,63	2,21	1,38	2,29	2,51	2,13	1,47	1,98	1,89	1,73	1,07	2,44	2,33	2,25	1,27	0,47	0,43	0,05	0,07	0,07	0,08	1,18	0,40	0,23	0,77	0,76	0,87	0,63	0,08	0,40
130	vignai	1	2,11	2,46	2,11	1,39	2,08	2,40	2,05	1,40	1,79	1,87	1,67	1,02	2,31	2,36	2,06	1,28	0,46	0,40	0,04	0,07	0,06	0,07	1,17	0,45	0,29	0,71	0,86	0,86	0,58	0,07	0,40
131	vignai	1	2,11	2,28	1,99	1,25	1,98	2,07	1,85	1,17	1,72	1,58	1,53	0,94	2,19	2,21	2	1,12	0,48	0,43	0,08	0,08	0,07	0,06	1,18	0,59	0,32	0,78	0,69	0,85	0,72	0,08	0,45
132	vignai	1	2,05	2,43	2,05	1,35	2,04	2,19	1,91	1,29	1,75	1,72	1,63	0,96	2,23	2,17	2,10	1,16	0,47	0,38	0,05	0,06	0,08	0,06	1,17	0,61	0,32	0,76	0,84	0,75	0,68	0,08	0,43
133	vignai	1	1,94	2,25	1,93	1,29	1,88	2,12	1,88	1,26	1,59	1,61	1,50	0,94	1,93	2,14	1,89	1,14	0,47	0,44	0,04	0,06	0,06	0,07	1,11	0,44	0,27	0,76	0,72	0,83	0,57	0,06	0,37
134	cyrnaeus	0	2,98	3,23	2,77	1,58	2,75	2,82	2,49	1,42	2,37	2,16	1,94	1,03	2,97	2,84	2,56	1,41	0,42	0,36	0,03	0,04	0,01	0,01	1,01	0,50	0,15	0,74	0,83	0,71	0,67	0,06	0,36
135	cyrnaeus	0	3,03	3,07	2,74	1,50	2,83	2,87	2,46	1,51	2,37	1,84	2,04	1,09	2,82	2,81	2,69	1,48	0,41	0,35	0,02	0,05	0,01	0,01	1,05	0,42	0,19	0,72	0,83	0,70	0,63	0,06	0,35
136	cyrnaeus	0	3,19	3,43	3,01	1,64	2,96	3,01	2,66	1,36	2,67	2,37	2,02	1,10	3,20	3,11	2,67	1,40	0,45	0,38	0,03	0,05	0,02	0,02	1,16	0,41	0,20	0,78	0,86	0,80	0,65	0,06	0,36
137	cyrnaeus	0	3,55	3,91	3,15	1,68	3,28	3,46	2,96	1,68	2,82	2,55	2,12	1,55	3,50	3,40	2,95	1,45	0,45	0,39	0,02	0,04	0,02	0,02	1,25	0,46	0,27	0,80	0,87	0,81	0,69	0,07	0,40
138	cyrnaeus	0	2,86	3,09	2,70	1,58	2,76	2,70	2,44	1,44	2,88	2,15	1,98	1,00	2,88	2,84	2,41	1,38	0,44	0,38	0,03	0,03	0,01	0,01	1,04	0,41	0,14	0,70	0,78	0,71	0,60	0,05	0,30
